DateTime;KOELGLEID_MSP_A.MSPChanged;KOELING_BAK:0310TT110.MEAS;KOELING_BAK:0310TT120.MEAS;KOELING_BAK:0310TT121.MEAS;KrachtMeting_MP1.KrachtMeting;KrachtMeting_MP1.KrachtMeting.Average
1-7-2019 13:00;1;13.93575001;19.0536499;16.50433922;(null);(null)
1-7-2019 14:00;1;13.93575001;19.67658172;16.50433922;(null);(null)
1-7-2019 15:00;1;13.93575001;20.0953598;16.50433922;(null);(null)
1-7-2019 16:00;1;13.83912652;20.0953598;16.50433922;(null);(null)
1-7-2019 17:00;1;13.30250954;20.0953598;16.50433922;(null);(null)
1-7-2019 18:00;1;13.90427971;20.0953598;16.50433922;(null);(null)
1-7-2019 19:00;1;13.90427971;20.0953598;16.50433922;(null);(null)
1-7-2019 20:00;1;13.90427971;20.0953598;16.50433922;(null);(null)
1-7-2019 21:00;1;13.90427971;20.0953598;17.2479358;(null);(null)
1-7-2019 22:00;1;13.90427971;20.0953598;17.57578087;(null);(null)
1-7-2019 23:00;1;13.90427971;20.0953598;17.57578087;(null);(null)
1-8-2019 00:00;1;21.34235001;21.26573944;23.66879082;(null);(null)
1-8-2019 01:00;1;21.34235001;21.26573944;23.66879082;(null);(null)
1-8-2019 02:00;1;21.34235001;21.26573944;23.66879082;(null);(null)
1-8-2019 03:00;1;20.4084772;21.26573944;23.66879082;(null);(null)
1-8-2019 04:00;1;20.33340073;21.26573944;23.66879082;(null);(null)
1-8-2019 05:00;1;20.33340073;20.46351895;23.66879082;(null);(null)
1-8-2019 06:00;1;20.33340073;20.2531395;23.66879082;(null);(null)
1-8-2019 07:00;1;20.33340073;20.2531395;23.66879082;(null);(null)
1-8-2019 08:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 09:00;1;20.33340073;20.2531395;23.66879082;-6.002180792;259.8907003
1-8-2019 10:00;1;20.33340073;20.2531395;23.66879082;-6.567195944;902.9894423
1-8-2019 11:00;1;20.33340073;20.2531395;23.66879082;-8.671407839;825
1-8-2019 12:00;1;20.33340073;20.2531395;23.66879082;-6;416.1902425
1-8-2019 13:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 14:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 15:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 16:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 17:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 18:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 19:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 20:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 21:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 22:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-8-2019 23:00;1;20.33340073;20.2531395;23.66879082;-6;-6
1-9-2019 00:00;1;14.02832031;22.18032681;14.05224037;29.88086417;1042.408117
1-9-2019 01:00;1;14.02832031;21.85873795;14.05224037;34.11349972;1035.100144
1-9-2019 02:00;1;13.61955314;21.85873795;14.05224037;15.82348722;287.8257419
1-9-2019 03:00;1;12.91769505;21.70340772;14.05224037;19.22252361;312.2454269
1-9-2019 04:00;1;12.91769505;20.85406876;14.05224037;19.71090917;393.0793544
1-9-2019 05:00;1;13.73324206;20.85406876;14.05224037;19.71850083;395.0908817
1-9-2019 06:00;1;13.94270515;20.65129121;14.05224037;18.63242667;386.7929217
1-9-2019 07:00;1;13.94270515;19.83229637;14.05224037;18.5398675;385.7655697
1-9-2019 08:00;1;13.94270515;19.83229637;14.05224037;21.22793111;446.4290931
1-9-2019 09:00;1;13.94270515;19.83229637;14.05224037;17.39526778;454.5559525
1-9-2019 10:00;1;12.93536428;18.8631537;14.05224037;16.64572111;451.045375
1-9-2019 11:00;1;12.88743877;18.80220795;14.05224037;15.61557111;295.6455647
1-9-2019 12:00;1;13.44037342;18.80220795;14.05224037;16.44977194;351.4166608
1-9-2019 13:00;1;13.94266987;18.80220795;14.05224037;24.30216167;353.8053311
1-9-2019 14:00;1;13.94266987;18.80220795;14.05224037;15.06316972;329.0032092
1-9-2019 15:00;1;13.94266987;18.80220795;14.05224037;21.40816333;521.469755
1-9-2019 16:00;1;13.94266987;18.80220795;14.05224037;19.19363333;569.7069981
1-9-2019 17:00;1;13.94266987;18.80220795;14.05224037;23.73738222;560.9720642
1-9-2019 18:00;1;13.94266987;18.80220795;14.05224037;22.66463222;492.4066361
1-9-2019 19:00;1;13.94266987;18.80220795;14.05224037;22.30711528;407.4487094
1-9-2019 20:00;1;13.94266987;18.80220795;14.05224037;20.92296028;407.1717061
1-9-2019 21:00;1;13.94266987;18.80220795;14.05224037;19.72736139;405.9447283
1-9-2019 22:00;1;13.94266987;18.80220795;15.18309459;4.5316475;408.0487564
