DateTime;ADDITIEF:0320LT130.PNT;ADDITIEF:0320LT230.PNT;ADDITIEF:0320LT310.PNT;ADDITIEF:0320LT333.PNT;ADDITIEF:0320WT010.PNT
1-6-2019 14:00;58.95087094;65.90211616;72.29547107;60.68161092;72.94165677
1-6-2019 15:00;57.05682253;61.88418286;71.93022146;57.44628863;0.311662839
1-6-2019 16:00;48.64745556;57.74917553;80.71284307;51.99806764;127.9136621
1-6-2019 17:00;57.24353722;52.96542327;95.12276398;63.10777437;46.01601036
1-6-2019 18:00;51.81222493;67.92253171;95.06417515;58.6265344;108.7823892
1-6-2019 19:00;57.05553532;67.001148;95.0227699;53.91168226;82.96290293
1-6-2019 20:00;54.13411258;62.00874865;91.72883984;60.55730818;0.999439507
1-6-2019 21:00;52.52315863;57.13408237;93.31322339;58.26088481;172.8792992
1-6-2019 22:00;56.96815804;52.3539332;101.1660437;52.85750373;0.040845306
1-6-2019 23:00;53.05004289;48.86863503;101.1663297;61.87232818;192.3524701
1-7-2019 0:00;53.87007159;66.44326407;52.53223749;56.07140545;58.16172729
1-7-2019 1:00;53.43731351;64.99265915;83.27781107;57.36966955;139.7784519
1-7-2019 2:00;53.17119481;58.92471005;83.97664998;54.9416221;35.7631513
1-7-2019 3:00;52.60790775;52.84402944;81.64995168;58.67458277;145.4662365
1-7-2019 4:00;52.43324324;66.20925749;80.55155208;52.5336649;100.2119462
1-7-2019 5:00;57.11441063;65.67603184;77.23570859;60.59083981;96.59704713
1-7-2019 6:00;55.58021129;60.69275884;77.23875085;53.77472179;4.288929946
1-7-2019 7:00;51.36536884;56.74350543;76.11164838;52.47595546;180.1992572
1-7-2019 8:00;63.03766631;52.81097322;73.08612986;63.53439327;2.286053271
1-7-2019 9:00;55.452499;68.8398845;73.14520893;60.87842907;21.29642554
1-7-2019 10:00;48.06034621;69.01638839;72.97178503;58.40087122;172.0542843
1-7-2019 11:00;61.91115457;65.2450009;73.24150431;55.94033589;8.035367276
1-7-2019 12:00;55.20064855;61.22731023;86.10233962;53.43830928;4.791016083
1-7-2019 13:00;54.49262677;57.23004427;101.1724826;51.3962973;178.9407681
1-7-2019 14:00;62.23466523;64.64712104;101.1697696;63.84058763;20.14268517
1-7-2019 15:00;54.57494194;73.27980082;101.1694584;61.09706044;2.484475636
1-7-2019 16:00;51.7656707;69.16515031;101.1683132;58.62523046;177.1867657
1-7-2019 17:00;61.44144091;65.34892489;101.1695605;56.14098164;2.193069915
1-7-2019 18:00;53.69919375;61.20701099;101.1626459;53.6705464;56.26456536
1-7-2019 19:00;58.33344389;57.20577171;100.8341218;51.12688298;126.3008529
1-7-2019 20:00;60.62811796;53.31915115;96.80418381;62.7743537;3.789077498
1-7-2019 21:00;54.43709043;59.31873042;96.80792974;61.4050762;23.70201842
1-7-2019 22:00;52.90531902;73.98921126;96.79922894;58.94203042;19.434822
